SiteID,WatershedArea_ha,Aspect,Slope,Elev_m,lattitude,longitude
3F144,595.11,117.2954178,6.9608803,471.0566101,38.0988846,-78.804718
3F263,536.72,236.6613922,0.4301172,460.4541931,38.3172913,-78.6314011
Fridley Gap,564.66,308.9961853,6.2293549,508.5879822,38.4960403,-78.7083206
Gum Run-Lower,2914.28,66.7312698,6.1525369,525.9951782,38.5094795,-79.0661011
Gum Run-Upper,531.06,80.5107803,23.446497,609.1060181,38.5204048,-79.0870132
Little Odey Run,277.47,338.0883789,5.8974619,"1,245.38",38.4771233,-79.9169235
Little Stony Creek-A,1919.91,186.1689606,5.1219807,399.8478088,38.9258652,-78.6534729
Little Stony Creek-B,1510.61,253.9841766,18.5624428,443.8399963,38.9341507,-78.645668
Little Stony Creek-C,1018.70,204.2804565,3.932997,486.7407227,38.941021,-78.6422424
Little Stony Creek-D,876.56,175.4450378,6.7502141,536.0550537,38.9483185,-78.6356888
Ramseys Draft-Lower,2395.66,179.4365234,4.6473451,708.2382813,38.3162498,-79.3532104
Ramseys Draft-Upper,1906.09,201.1494293,3.5961995,771.5675049,38.3342323,-79.3377075
