"SiteID","Site","SITEID_Legacy","SITEID_New","Site_Name","FISH_SiteType","AQIN_SiteType","STREAM","SHARED_SITE","SiteID2","OLD_AQIN_SITEID","InPark","HUC8","REACH_CODE","County","Quad_map","Watershed","Aspect_deg","Slope_deg","Elev_m","EstVError","Geol_form","Geol_category","Lat_n83","Lon_n83","UTMX_E","UTMY_N","UTMX_E_end","UTMY_N_end","UtmZone","Datum","EstHError","AccCategory","AccNotes","GPS_DATE","Notes","Location_Description","Lower_Tag_Tree","Upper_Tag_Tree","Access_From","ParkCode","LastEdit_by","LastEdit_date","LocationID","ModifiedDate","LastUpdate","MaxWidth_m","MaxDepth_m","Current_Year"
"1F117",13,"1F117","1F117","Jeremy's Run","Inactive",NA,"Jeremy's Run","","","",TRUE,"02070005",2070005000215,"Page","Thornton Gap","Jeremys Run",204,6,443,10,NA,NA,38.72709177,-78.33632419,731554.0803,4289861.062,731592.7679,4289892.562,"17N","NAD83",0,1,"Trimble-GPS-Dan-2","Pre-2000","","","","","","SHEN","","",NA,"","",3.450000048,0.5,FALSE
"1F118",14,"1F118","1F118","Jeremy's Run","Primary","Primary","Jeremy's Run","1L313","Y","1L313",TRUE,"02070005",2070005000215,"Page","Thornton Gap","Jeremys Run",331,14,555,10,NA,6,38.74835781,-78.32445066,732517.3911,4292251.548,732535.7036,4292298.048,"17N","NAD83",0,1,"Trimble-GPS-Dan-2","Pre-2000","This is a shared site with OLD AQIN 1L313.  It has 100% canopy cover and was scoured by the snow melt of 1996 but not too badly by Fran.  The site has a lot of riffle but not as much pool.  The snow melt did make a couple of pools larger.  (AQIN - Sampled yearly.)","","","","","SHEN","","",NA,"","",4.907572269,0.292580843,FALSE
"1F132",15,"1F132","1F132","Overall Run","Primary","Secondary","Overall Run","","","1F132",TRUE,"02070005",2070005000244,"Warren","Bentonville","Overall Run",179,3,290,10,NA,7,38.78955881,-78.31918196,732841.2559,4296837.984,732941.2563,4296837.986,"17N","NAD83",0,1,"Trimble-GPS-Dan-2","Pre-2000","","","","","","SHEN","","",NA,"","",6.405855179,0.325118482,FALSE
"1F133",16,"1F133","1F133","Land's Run","Secondary",NA,"Land's Run","","","",TRUE,"02070005",2070005001029,"Warren","Chester Gap","Gooney Run",146,19,414,10,NA,NA,38.82608733,-78.19548936,743461.8655,4301214.98,743551.2398,4301272.479,"17N","NAD83",0,1,"Trimble-GPS-Dan-1","Pre-2000","","","","","","SHEN","","",NA,"","",4.975641251,0.291025639,FALSE
"1F137",17,"1F137","1F137","Piney River","Inactive","Secondary","Piney River","","","1F137",TRUE,"02080103",2080103000155,"Rappahannock","Thornton Gap","Piney River",261,9,455,10,3,7,38.71920156,-78.28065937,736419.8476,4289127.64,736398.1599,4289225.139,"17N","NAD83",0,1,"Trimble-GPS-Dan-2","Pre-2000","(Sampled once.)","","","","","SHEN","","",NA,"","",4.995652199,0.5,FALSE
"1F138",18,"1F138","1F138","Piney River","Primary","Secondary","Piney River","","","1F138",TRUE,"02080103",2080103000155,"Rappahannock","Thornton Gap","Piney River",205,6,573,10,3,7,38.72801872,-78.29158443,735440.9055,4290078.116,735401.8427,4290170.115,"17N","NAD83",0,1,"Trimble-GPS-Dan-2","Pre-2000","(Sampled once.)","","","","","SHEN","","",NA,"","",6.198484898,0.340129882,FALSE
"1F145",19,"1F145","1F145","Piney River","Primary",NA,"Piney River","","","",TRUE,"02080103",2080103000155,"Rappahannock","Thornton Gap","Piney River",62,4,415,10,NA,7,38.71183103,-78.27754259,736715.1967,4288317.618,NA,NA,"17N","NAD83",0,0,"GIS","2002-?","New in 1999 need to match-up with GPS data","","","","","SHEN","","",NA,"","",5.440505028,0.394090921,FALSE
"1FVA1",20,"1FVA1","1FVA1","Jeremy's Run","Primary",NA,"Jeremy's Run","","","",TRUE,"02070005",2070005000215,"Page","Thornton Gap","Jeremys Run",116,9,429,10,NA,6,38.72382707,-78.33717005,731491.0809,4289496.565,731497.8933,4289573.064,"17N","NAD83",0,1,"Trimble-GPS-Dan-1","Pre-2000","","","","","","SHEN","","",NA,"","",5.366019249,0.355652183,FALSE
"1FVA2",21,"1FVA2","1FVA2","Thornton River, N.F.","Primary",NA,"Thornton River, N. Fork","","","",TRUE,"02080103",2080103000975,"Rappahannock","Thornton Gap","North Fork Thornton River",69,4,382,10,NA,7,38.70329391,-78.29127045,735549.4103,4287334.646,735514.9726,4287411.645,"17N","NAD83",0,1,"Trimble-GPS-Dan-1","Pre-2000","","","","","","SHEN","","",NA,"","",4.450909138,0.281218499,FALSE
"1FVA3",22,"1FVA3","1FVA3","Thornton River, N.F.","Primary",NA,"Thornton River, N. Fork","","","",TRUE,"02080103",2080103000975,"Rappahannock","Thornton Gap","North Fork Thornton River",175,9,428,10,NA,7,38.70845025,-78.30035371,734742.532,4287883.629,734684.6566,4287965.628,"17N","NAD83",0,1,"Trimble-GPS-Dan-1","Pre-2000","","","","","","SHEN","","",NA,"","",4.703508854,0.317593366,FALSE
"2F009",23,"2F009","2F009","Whiteoak Canyon Run","Secondary","Primary","Whiteoak Canyon Run","2L301","Y","2L301",TRUE,"02080103",2080103000275,"Madison","Old Rag Mountain","Robinson River",185,12,345,10,NA,NA,38.54068783,-78.34966912,730991.7534,4269138.306,730887.6281,4269260.304,"17N","NAD83",0,1,"Trimble-GPS-Dan-1","Pre-2000","This site is at the Park boundary and has about 80% tree canopy.  The 1, 2, 3 combination of the June 1995 storm, Hurricane Fran, and the 24 hour snowmelt really re-worked this section of stream.  It now has a large wood debris pile in the middle and a cobble depositional fan at the bottom that has raised the original channel up about a meter and a half.  There is a foot bridge at the top of this transect and the trails in this drainage get very high use.  There is also a lot of swimming activity.  (Sampled yearly.)","","","","","SHEN","","",NA,"","",7.783281803,0.349128008,FALSE
"2F010",24,"2F010","2F010","Whiteoak Canyon Run","Inactive",NA,"Whiteoak Canyon Run","","","",TRUE,"02080103",2080103000275,"Madison","Old Rag Mountain","Robinson River",228,6,370,10,NA,NA,38.54566638,-78.3516876,730799.877,4269685.798,730726.0643,4269760.297,"17N","NAD83",0,1,"Trimble-GPS-Dan-1","Pre-2000","","","","","","SHEN","","",NA,"","",5.409090996,0.5,FALSE
"2F011",25,"2F011","2F011","Whiteoak Canyon Run","Inactive",NA,"Whiteoak Canyon Run","","","",TRUE,"02080103",2080103000275,"Madison","Old Rag Mountain","Robinson River",106,1,388,10,NA,NA,38.54823349,-78.35344987,730638.0638,4269966.294,730642.251,4270077.792,"17N","NAD83",0,1,"Trimble-GPS-Dan-2","Pre-2000","","","","","","SHEN","","",NA,"","",7.508333206,0.5,FALSE
"2F015",26,"2F015","2F015","Rose River","Primary","Primary","Rose River","2L305","Y","2L305",TRUE,"02080103",2080103000436,"Madison","Old Rag Mountain","Rose River",100,2,340,10,NA,7,38.51541886,-78.3663898,729614.5735,4266291.834,729470.3861,4266250.334,"17N","NAD83",0,1,"Trimble-GPS-Dan-2","Pre-2000","This site is at the Park boundary on the Rose and consists of fairly high gradient stream with quick riffles and medium sized pools.  For the most part, it coexists with the fish site 2F015.  It starts halfway into the pool at the boundary, whereas the fish transect starts at the break at the head of the pool.  They both end at the same location.  The canopy is about 90 to 95%.  (Sampled yearly.)","","","","","SHEN","","",NA,"","",8.698644638,0.478449047,FALSE
"2F016",27,"2F016","2F016","Rose River","Primary",NA,"Rose River","","","",TRUE,"02080103",2080103000436,"Madison","Big Meadows","Rose River",17,2,414,10,NA,7,38.5113422,-78.38448462,728049.5754,4265794.332,727938.5754,4265782.332,"17N","NAD83",0,1,"Trimble-GPS-Dan-1","Pre-2000","","","","","","SHEN","","",NA,"","",7.512949467,0.440905362,FALSE
"2F017",28,"2F017","2F017","Rose River","Primary",NA,"Rose River","","","",TRUE,"02080103",2080103000436,"Madison","Big Meadows","Rose River",137,7,642,10,NA,7,38.52515455,-78.4059521,726134.2586,4267274.301,726053.2585,4267321.3,"17N","NAD83",0,1,"Trimble-GPS-Dan-1","Pre-2000","","","","","","SHEN","","",NA,"","",7.32301569,0.377466679,FALSE
"2F029",29,"2F029","2F029","Naked Creek, E.B.","Secondary","Secondary","Naked Creek, E. Branch","","","2F029",TRUE,"02070005",2070005000156,"Page","Fletcher","Naked Creek",186,3,545,10,3,6,38.47788739,-78.48164009,719678.8747,4261844.814,719713.625,4261880.814,"17N","NAD83",0,1,"Trimble-GPS-Dan-2","Pre-2000","Hurricane Fran blew the lower half of this stream out similar to what the June 1995 flood did to the lower portions of the Conway.   The  fish site was sampled the same location as aquatic insects in July 2001.  The canopy is missing from about 20 feet from each bank.  The drainage is fairly narrow though and there seems to be adequate shade for most of the day.","","","","","SHEN","","",NA,"","",5.846835613,0.312765956,FALSE
"2F032",30,"2F032","2F032","Brokenback Run","Inactive",NA,"Brokenback Run","","","",TRUE,"02080103",2080103000979,"Madison","Old Rag Mountain","Hughes River",100,5,312,10,NA,NA,38.57104101,-78.30018322,735206.4351,4272632.796,735110.8101,4272594.296,"17N","NAD83",0,1,"Trimble-GPS-Dan-1","Pre-2000","","","","","","SHEN","","",NA,"","",8.43636322,0.5,FALSE
"2F033",31,"2F033","2F033","Brokenback Run","Inactive",NA,"Brokenback Run","","","",TRUE,"02080103",2080103000979,"Madison","Old Rag Mountain","Hughes River",196,10,350,10,NA,NA,38.57123985,-78.30646497,734658.4348,4272638.792,734569.7472,4272658.791,"17N","NAD83",0,1,"Trimble-GPS-Dan-1","Pre-2000","","","","","","SHEN","","",NA,"","",6.247619152,0.5,FALSE
"2F034",32,"2F034","2F034","Brokenback Run","Inactive",NA,"Brokenback Run","","","",TRUE,"02080103",2080103000979,"Madison","Old Rag Mountain","Hughes River",71,13,432,10,NA,NA,38.56732633,-78.31710456,733744.0601,4272177.29,733647.435,4272206.789,"17N","NAD83",0,1,"Trimble-GPS-Dan-1","Pre-2000","","","","","","SHEN","","",NA,"","",4.599999905,0.5,FALSE
"2F036",33,"2F036","2F036","Thornton River, S.F.","Secondary","Secondary","Thornton River, S. Fork","","","2F036",TRUE,"02080103",2080103000424,"Rappahannock","Thornton Gap","Thornton River",67,5,320,10,NA,NA,38.65697092,-78.28212508,736497.3583,4282216.71,736451.9831,4282311.208,"17N","NAD83",0,1,"Trimble-GPS-Dan-1","Pre-2000","","","","","","SHEN","","",NA,"","",6.37375021,0.383351147,FALSE
"2F037",34,"2F037","2F037","Thornton River, S.F.","Inactive",NA,"Thornton River, S. Fork","","","",TRUE,"02080103",2080103000424,"Rappahannock","Thornton Gap","Thornton River",202,8,339,10,NA,NA,38.65982732,-78.28524381,736216.5447,4282525.704,736112.5445,4282545.202,"17N","NAD83",0,1,"Trimble-GPS-Dan-1","Pre-2000","","","","","","SHEN","","",NA,"","",6.333333492,0.5,FALSE
"2F038",35,"2F038","2F038","Hughes River","Primary","Secondary","Hughes River","","","2F038",TRUE,"02080103",2080103000165,"Madison","Old Rag Mountain","Hughes River",74,4,293,10,2,5,38.57742072,-78.29963509,735233.3714,4273342.289,735173.1838,4273379.288,"17N","NAD83",0,1,"Trimble-GPS-Dan-2","Pre-2000","This is the lower fish site on the Hughes.  It is characterized by a long pool/run in the lower half of the transect, and riffle and stair stepped pool in the upper portion.  In general the transect probably has about 85% canopy cover.  (Sampled once.)","","","","","SHEN","","",NA,"","",8.86223793,0.482996851,FALSE
"2F039",36,"2F039","2F039","Hughes River","Primary",NA,"Hughes River","","","",TRUE,"02080103",2080103000165,"Madison","Old Rag Mountain","Hughes River",131,3,370,10,5,5,38.58725386,-78.31309546,734028.6808,4274399.267,733967.3056,4274492.766,"17N","NAD83",0,1,"Trimble-GPS-Dan-2","Pre-2000","","","","","","SHEN","","",NA,"","",7.844029903,0.424102575,FALSE
"2F040",37,"2F040","2F040","Hughes River","Primary","Secondary","Hughes River","","","2F040",TRUE,"02080103",2080103000165,"Madison","Old Rag Mountain","Hughes River",171,3,402,10,2,5,38.59175083,-78.3166781,733701.992,4274889.259,733652.1169,4274892.759,"17N","NAD83",0,1,"Trimble-GPS-Dan-2","Pre-2000","This is the upper fish site but is only about halfway through the drainage so it is still a large water site.  It is stair stepped riffle, pool all the way and has 95% canopy cover.  (Sampled once.)","","","","","SHEN","","",NA,"","",7.886705399,0.402628213,FALSE
"2F047",38,"2F047","2F047","Pocosin Hollow Run","Inactive",NA,"Pocosin Hollow Run","","","",TRUE,"02080103",2080103000631,"Greene","Fletcher","Conway River",14,13,472,10,NA,NA,38.40656192,-78.45783492,721974.2439,4253985.828,721903.5564,4253987.827,"17N","NAD83",0,1,"Trimble-GPS-Dan-2","Pre-2000","","","","","","SHEN","","",NA,"","",5.666666508,0.5,FALSE
"2F048",39,"2F048","2F048","Pocosin Hollow Run","Secondary","Secondary","Pocosin Hollow Run","","","2F048",TRUE,"02080103",2080103000631,"Greene","Fletcher","Conway River",154,5,606,10,NA,16,38.41221165,-78.46908564,720974.4983,4254585.821,720978.5612,4254635.821,"17N","NAD83",0,1,"Trimble-GPS-Dan-2","Pre-2000","This is our only current fish site on Pocosin.  It is located about one mile up from the boundary and is 95% canopied.  There was a lot of settlement in this drainage at the time of Park establishment but the stream looks really good.  There should be no trail influences for this site.  (Sampled once.)","","","","","SHEN","","",NA,"","",6.852857113,0.261698127,FALSE
"2F049",40,"2F049","2F049","Hannah Run","Inactive",NA,"Hannah Run","","","",TRUE,"02080103",2080103003236,"Madison","Old Rag Mountain","Hughes River",174,3,399,10,NA,NA,38.59173511,-78.31560028,733795.9296,4274890.26,733790.5545,4274939.759,"17N","NAD83",0,1,"Trimble-GPS-Dan-2","Pre-2000","","","","","","SHEN","","",NA,"","",4,0.5,FALSE
"2F050",41,"2F050","2F050","Hannah Run","Primary","Secondary","Hannah Run","","","2F050",TRUE,"02080103",2080103003236,"Madison","Old Rag Mountain","Hughes River",208,3,425,10,2,9,38.59522897,-78.31630314,733723.3662,4275276.255,733679.8036,4275300.754,"17N","NAD83",0,1,"Trimble-GPS-Dan-2","Pre-2000","This is a tributary of the Hughes and although it enters the Hughes below 2F040, it is about a stream mile further up the drainage than 2F040.  It has a higher gradient than the other two sites on the Hughes and is stair stepped riffle, pool all the way and has 99% canopy cover.  (Sampled once.)","","","","","SHEN","","",NA,"","",4.978205204,0.352222234,FALSE
"2F052",42,"2F052","2F052","Hazel River","Inactive",NA,"Hazel River","","","",TRUE,"02080103",2080103000160,"Rappahannock","Thornton Gap","Hazel River",269,8,451,10,NA,NA,38.63082446,-78.27261273,737411.5518,4279339.248,737422.5517,4279436.247,"17N","NAD83",0,1,"Trimble-GPS-Dan-1","Pre-2000","","","","","","SHEN","","",NA,"","",5.833333492,0.5,FALSE
"2F053",43,"2F053","2F053","Hazel River","Secondary",NA,"Hazel River","","","",TRUE,"02080103",2080103002938,"Rappahannock","Thornton Gap","Hazel River",348,4,544,10,NA,NA,38.63409673,-78.28430482,736382.8621,4279672.234,736322.9869,4279700.233,"17N","NAD83",0,1,"Trimble-GPS-Dan-1","Pre-2000","","","","","","SHEN","","",NA,"","",5.861346245,0.303866655,FALSE
"2F054",44,"2F054","2F054","Hogcamp Branch","Inactive",NA,"Hogcamp Branch","","","",TRUE,"02080103",2080103004038,"Madison","Big Meadows","Rose River",26,11,671,10,NA,NA,38.52637321,-78.40971842,725802.0707,4267400.298,725752.7582,4267408.297,"17N","NAD83",0,1,"Trimble-GPS-Dan-2","Pre-2000","","","","","","SHEN","","",NA,"","",4,0.5,FALSE
"2F055",45,"2F055","2F055","Hogcamp Branch","Primary","Primary","Hogcamp Branch","2L304","Y","2L304",TRUE,"02080103",2080103004038,"Madison","Big Meadows","Rose River",67,5,802,10,NA,7,38.52275221,-78.42057407,724866.8847,4266971.799,724824.6349,4266915.299,"17N","NAD83",0,1,"Trimble-GPS-Dan-2","Pre-2000","This site is just below the bridge on the Rose River Fire Road.  It is severely impacted by silt due to the head cutting just below Big Meadows Swamp and the erosion from the extremely heavily used Dark Hollow Trail.  The transect is very steep but is comprised of plunge pools and short riffles.  Hogcamp is loosing it's canopy due to Hemlock Wooly Adelgid but it does not seem to be in too much trouble from solar radiation due to the amount of black and yellow birch coming in and the steapness and aspect of the hollow.  The canopy is about 85%.  (Sampled yearly.)","","","","","SHEN","","",NA,"","",5.163675308,0.2771523,FALSE
"2F062",46,"2F062","2F062","Cedar Run","Secondary","Secondary","Cedar Run","","","2F062",TRUE,"02080103",2080103003761,"Madison","Old Rag Mountain","Robinson River",38,14,412,10,3,16,38.5367986,-78.35896813,730193.567,4268683.307,730082.567,4268667.306,"17N","NAD83",0,1,"Trimble-GPS-Dan-1","Pre-2000","This stream is probably fairly highly influenced by the steep trail running along the full length of the drainage.  Canopy is good but the whole stream is very high gradient. (Sampled once.)","","","","","SHEN","","",NA,"","",6.050877094,0.345138878,FALSE
"2F063",47,"2F063","2F063","Berry Hollow","Secondary","Secondary","Berry Hollow","","","2F063",TRUE,"02080103",2080103003634,"Madison","Old Rag Mountain","Robinson River",263,9,437,10,NA,21,38.54894113,-78.34035239,731777.3763,4270077.8,731810.4387,4270140.299,"17N","NAD83",0,1,"Trimble-GPS-Dan-2","Pre-2000","","","","","","SHEN","","",NA,"","",3.752985001,0.256200612,FALSE
"2F064",48,"2F064","2F064","Cedar Run","Inactive",NA,"Cedar Run","","","",TRUE,"02080103",2080103003761,"Madison","Old Rag Mountain","Robinson River",117,6,667,10,NA,NA,38.54374503,-78.37136798,729090.5648,4269423.29,728993.5647,4269465.289,"17N","NAD83",0,1,"Trimble-GPS-Dan-1","Pre-2000","","","","","","SHEN","","",NA,"","",4.918181896,0.5,FALSE
"2F065",49,"2F065","2F065","Cedar Run","Inactive",NA,"Cedar Run","","","",TRUE,"02080103",2080103003761,"Madison","Old Rag Mountain","Robinson River",96,24,528,10,NA,NA,38.5405705,-78.36542142,729619.0033,4269085.798,729586.8782,4269124.297,"17N","NAD83",0,1,"Trimble-GPS-Dan-2","Pre-2000","","","","","","SHEN","","",NA,"","",4,0.5,FALSE
"2F067",50,"2F067","2F067","Broad Hollow Run","Secondary","Secondary","Broad Hollow Run","","","2F067",TRUE,"02080103",2080103003156,"Rappahannock","Old Rag Mountain","Hazel River",112,7,359,10,2,4,38.59445985,-78.27427001,737387.1826,4275298.787,737288.8075,4275346.286,"17N","NAD83",0,1,"Trimble-GPS-Dan-1","Pre-2000","This stream is well timbered though the Old Rag and Pinnacles fires just burned through.  There is a trail that follows the stream for a ways but I am not familiar with it so I can't say if it influences the stream or not.  There is a low concrete dam halfway through the transect where the neighboring landowner siphons water for his cows and garden (1 1/2 inch line).  I first reported this problem in 1992 or '93, and again in '97 or '98 but our LE's seem to take no interest.  Trout are present above and below the structure.  (Sampled once.)","","","","","SHEN","","",NA,"","",4.863720894,0.283682436,FALSE
"2F069",51,"2F069","2F069","South River","Secondary","Secondary","South River","","","2F069",TRUE,"02080103",2080103000308,"Greene","Fletcher","South River",108,12,542,10,3,4,38.3781195,-78.49500057,718814.3364,4250740.307,718771.7116,4250766.307,"17N","NAD83",0,1,"Trimble-GPS-Dan-2","Pre-2000","This site should be very rich in insect life looking at the land it flows through.  The soils in this drainage are pretty deep compared to the rest of the Park and the canopy over the site is about 99%.  The pool to riffle ratio is fairly even and the pools are fairly large and the riffles deep.  Lots of structure in this site.  I don't feel that the fire road that ends just above the site influences the site very much most of the road runoff is filtered by the forest.  (Sampled once.)","","","","","SHEN","","",NA,"","",5.721052647,0.298291326,FALSE
"2F071",52,"2F071","2F071","Hazel River","Secondary","Primary","Hazel River","2L303_1","Y","2L303_1",TRUE,"02080103",2080103000160,"Rappahannock","Old Rag Mountain","Hazel River",31,8,321,10,NA,NA,38.61539473,-78.26158756,738422.5557,4277655.274,738335.5556,4277613.274,"17N","NAD83",0,1,"Trimble-GPS-Dan-1","Pre-2000","Old site AQIN site 2L303 from 1986-1993. Braided stream with big pool at the bottom, moved AQIN site in 1994 to the top of this site and named 2F303.","","","","","SHEN","","",NA,"","",9.579999924,0.4354074,FALSE
"2F072",53,"2F072","2F072","Staunton River (Post 1995 channel)","Primary","Primary","Staunton River","2L307","Y","2L307",TRUE,"02080103",2080103000454,"Madison","Madison","Rapidan River",88,7,316,10,NA,10,38.44461219,-78.37170956,729375.1634,4258419.885,729367.1587,4258464.866,"17N","NAD83",0,1,"Unknown","","Post June 1995 flood channel","","","","","SHEN","","",NA,"","",7.420908928,0.341241568,FALSE
"2F072_1",54,"2F072_1","2F072_1","Staunton River (Pre 1995 channel)","Inactive","Inactive","Staunton River","","Y","2L307_1",TRUE,"02080103",2080103000454,"Madison","Madison","Rapidan River",151,8,312,10,NA,NA,38.44500635,-78.37121413,729417.1587,4258464.866,NA,NA,"17N","NAD83",NA,0,"Trimble-GPS-Dan-2","Pre-2000","Pre June 1995 flood channel","","","","","SHEN","","",NA,"","",6.690259933,0.5,FALSE
"2F073",55,"2F073","2F073","Staunton River","Inactive","Secondary","Staunton River","","","2F073",TRUE,"02080103",2080103000455,"Madison","Fletcher","Rapidan River",187,8,408,10,2,10,38.45062148,-78.37953969,728672.7255,4259067.361,728705.0385,4259130.361,"17N","NAD83",0,1,"Trimble-GPS-Dan-2","Pre-2000","This site no longer exists.  There are no tag trees and no landmarks left in this section of stream.  When this site was sampled it had 99% canopy.  I do not remember what the transect was like other than that.  (Sampled once.)","","","","","SHEN","","",NA,"","",4.5,0.5,FALSE
