SiteVisit_ID,SiteID,Year,Month,Day,Species_Code,AGE,Errors,Removal_Passes,Pass1,Pass2,Pass3,Pass4,Pass5,Pass6,Pass7,Pass8,Pass9,MLE_loops,Total_Catch,Pop_Est,Capture_Prob,Pop_Est_VAR,Pop_Est_SE,Capture_Prob_VAR,Capture_Prob_SE,T-Value,Pop_Est_CI_Lower,Pop_Est_CI_Upper,Capture_Prob_CI_Lower,Capture_Prob_CI_Upper,Chi_Square,Current,UserCriteria,RunDateTime
1982-09-30_F_2F040,F_2F040,1982,9,30,BKT,All,Invalid Dataset,1,46,NA,NA,NA,NA,NA,NA,NA,NA,0,46,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-10-01_F_3F041,F_3F041,1982,10,1,BKT,All,Invalid Dataset,1,25,NA,NA,NA,NA,NA,NA,NA,NA,0,25,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-10-01_F_3F042,F_3F042,1982,10,1,BKT,All,Invalid Dataset,1,66,NA,NA,NA,NA,NA,NA,NA,NA,0,66,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-10-01_F_3F043,F_3F043,1982,10,1,BKT,All,Invalid Dataset,1,58,NA,NA,NA,NA,NA,NA,NA,NA,0,58,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-10-06_F_3F046,F_3F046,1982,10,6,BKT,All,Invalid Dataset,1,4,NA,NA,NA,NA,NA,NA,NA,NA,0,4,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-10-07_F_3F044,F_3F044,1982,10,7,BKT,All,Invalid Dataset,1,208,NA,NA,NA,NA,NA,NA,NA,NA,0,208,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-10-07_F_3F045,F_3F045,1982,10,7,BKT,All,Invalid Dataset,1,75,NA,NA,NA,NA,NA,NA,NA,NA,0,75,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-10-08_F_2F047,F_2F047,1982,10,8,BKT,All,Invalid Dataset,1,29,NA,NA,NA,NA,NA,NA,NA,NA,0,29,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-10-08_F_2F048,F_2F048,1982,10,8,BKT,All,Invalid Dataset,1,56,NA,NA,NA,NA,NA,NA,NA,NA,0,56,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-10-14_F_2F049,F_2F049,1982,10,14,BKT,All,Invalid Dataset,1,44,NA,NA,NA,NA,NA,NA,NA,NA,0,44,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-10-14_F_2F050,F_2F050,1982,10,14,BKT,All,Invalid Dataset,1,64,NA,NA,NA,NA,NA,NA,NA,NA,0,64,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-10-15_F_2F052,F_2F052,1982,10,15,BKT,All,Invalid Dataset,1,35,NA,NA,NA,NA,NA,NA,NA,NA,0,35,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-10-15_F_2F053,F_2F053,1982,10,15,BKT,All,Invalid Dataset,1,49,NA,NA,NA,NA,NA,NA,NA,NA,0,49,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-10-22_F_2F055,F_2F055,1982,10,22,BKT,All,Invalid Dataset,1,126,NA,NA,NA,NA,NA,NA,NA,NA,0,126,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-06-24_F_1F056,F_1F056,1983,6,24,BKT,All,Invalid Dataset,1,113,NA,NA,NA,NA,NA,NA,NA,NA,0,113,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-06-24_F_1F057,F_1F057,1983,6,24,BKT,All,Invalid Dataset,1,73,NA,NA,NA,NA,NA,NA,NA,NA,0,73,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-06-24_F_1F058,F_1F058,1983,6,24,BKT,All,Invalid Dataset,1,91,NA,NA,NA,NA,NA,NA,NA,NA,0,91,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-06-27_F_2F059,F_2F059,1983,6,27,BKT,All,Invalid Dataset,1,22,NA,NA,NA,NA,NA,NA,NA,NA,0,22,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-06-27_F_2F060,F_2F060,1983,6,27,BKT,All,Invalid Dataset,1,33,NA,NA,NA,NA,NA,NA,NA,NA,0,33,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-06-29_F_2F063,F_2F063,1983,6,29,BKT,All,Invalid Dataset,1,30,NA,NA,NA,NA,NA,NA,NA,NA,0,30,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-07-01_F_2F062,F_2F062,1983,7,1,BKT,All,Invalid Dataset,1,102,NA,NA,NA,NA,NA,NA,NA,NA,0,102,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-07-01_F_2F064,F_2F064,1983,7,1,BKT,All,Invalid Dataset,1,101,NA,NA,NA,NA,NA,NA,NA,NA,0,101,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-07-01_F_2F065,F_2F065,1983,7,1,BKT,All,Invalid Dataset,1,45,NA,NA,NA,NA,NA,NA,NA,NA,0,45,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-07-06_F_2F067,F_2F067,1983,7,6,BKT,All,Invalid Dataset,1,5,NA,NA,NA,NA,NA,NA,NA,NA,0,5,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-07-07_F_2F069,F_2F069,1983,7,7,BKT,All,Invalid Dataset,1,82,NA,NA,NA,NA,NA,NA,NA,NA,0,82,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-07-11_F_2F072_1,F_2F072_1,1983,7,11,BKT,All,Invalid Dataset,1,72,NA,NA,NA,NA,NA,NA,NA,NA,0,72,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-07-11_F_2F073,F_2F073,1983,7,11,BKT,All,Invalid Dataset,1,116,NA,NA,NA,NA,NA,NA,NA,NA,0,116,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-07-11_F_2F074,F_2F074,1983,7,11,BKT,All,Invalid Dataset,1,100,NA,NA,NA,NA,NA,NA,NA,NA,0,100,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-07-11_F_2F075,F_2F075,1983,7,11,BKT,All,Invalid Dataset,1,115,NA,NA,NA,NA,NA,NA,NA,NA,0,115,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-07-14_F_3F078,F_3F078,1983,7,14,BKD,All,Invalid Dataset,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-07-14_F_3F078,F_3F078,1983,7,14,BKT,All,Invalid Dataset,1,26,NA,NA,NA,NA,NA,NA,NA,NA,0,26,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-07-14_F_3F079,F_3F079,1983,7,14,BKD,All,Invalid Dataset,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-07-14_F_3F079,F_3F079,1983,7,14,BKT,All,Invalid Dataset,1,24,NA,NA,NA,NA,NA,NA,NA,NA,0,24,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-07-14_F_3F080,F_3F080,1983,7,14,BKT,All,Invalid Dataset,1,87,NA,NA,NA,NA,NA,NA,NA,NA,0,87,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-07-19_F_3F084,F_3F084,1983,7,19,BKT,All,Invalid Dataset,1,15,NA,NA,NA,NA,NA,NA,NA,NA,0,15,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-07-19_F_3F085,F_3F085,1983,7,19,BKT,All,Invalid Dataset,1,59,NA,NA,NA,NA,NA,NA,NA,NA,0,59,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-07-24_F_2F076,F_2F076,1983,7,24,BKT,All,Invalid Dataset,1,131,NA,NA,NA,NA,NA,NA,NA,NA,0,131,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-07-27_F_2F071,F_2F071,1983,7,27,BKT,All,Invalid Dataset,1,38,NA,NA,NA,NA,NA,NA,NA,NA,0,38,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-07-27_F_2F089,F_2F089,1983,7,27,BKT,All,Invalid Dataset,1,40,NA,NA,NA,NA,NA,NA,NA,NA,0,40,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-08-02_F_2F052,F_2F052,1983,8,2,BKT,All,Invalid Dataset,1,32,NA,NA,NA,NA,NA,NA,NA,NA,0,32,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-08-02_F_2F053,F_2F053,1983,8,2,BKT,All,Invalid Dataset,1,68,NA,NA,NA,NA,NA,NA,NA,NA,0,68,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-08-02_F_2F090,F_2F090,1983,8,2,BKT,All,Invalid Dataset,1,68,NA,NA,NA,NA,NA,NA,NA,NA,0,68,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-08-16_F_2F091,F_2F091,1983,8,16,BKT,All,Invalid Dataset,1,75,NA,NA,NA,NA,NA,NA,NA,NA,0,75,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-08-16_F_2F092,F_2F092,1983,8,16,BKT,All,Invalid Dataset,1,86,NA,NA,NA,NA,NA,NA,NA,NA,0,86,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-08-16_F_2F093,F_2F093,1983,8,16,BKT,All,Invalid Dataset,1,15,NA,NA,NA,NA,NA,NA,NA,NA,0,15,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-08-16_F_2F134,F_2F134,1983,8,16,BKT,All,Invalid Dataset,1,70,NA,NA,NA,NA,NA,NA,NA,NA,0,70,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1983-08-16_F_2F135,F_2F135,1983,8,16,BKT,All,Invalid Dataset,1,126,NA,NA,NA,NA,NA,NA,NA,NA,0,126,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1984-06-07_F_2F094,F_2F094,1984,6,7,BKT,All,Invalid Dataset,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1984-06-07_F_2F095,F_2F095,1984,6,7,BKT,All,Invalid Dataset,1,6,NA,NA,NA,NA,NA,NA,NA,NA,0,6,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1984-06-08_F_2F096,F_2F096,1984,6,8,BKT,All,Invalid Dataset,1,7,NA,NA,NA,NA,NA,NA,NA,NA,0,7,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1984-06-11_F_3F021,F_3F021,1984,6,11,BKT,All,Invalid Dataset,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1984-06-11_F_3F022,F_3F022,1984,6,11,BKT,All,Invalid Dataset,1,4,NA,NA,NA,NA,NA,NA,NA,NA,0,4,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1984-06-14_F_3F023,F_3F023,1984,6,14,BKT,All,Invalid Dataset,1,30,NA,NA,NA,NA,NA,NA,NA,NA,0,30,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1984-06-14_F_3F098,F_3F098,1984,6,14,BKT,All,Invalid Dataset,1,24,NA,NA,NA,NA,NA,NA,NA,NA,0,24,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1984-06-14_F_3F101,F_3F101,1984,6,14,BKT,All,Invalid Dataset,1,19,NA,NA,NA,NA,NA,NA,NA,NA,0,19,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1984-06-15_F_3F100,F_3F100,1984,6,15,BKT,All,Invalid Dataset,1,15,NA,NA,NA,NA,NA,NA,NA,NA,0,15,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1984-06-18_F_3F024,F_3F024,1984,6,18,BKT,All,Invalid Dataset,1,8,NA,NA,NA,NA,NA,NA,NA,NA,0,8,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1984-06-18_F_3F025,F_3F025,1984,6,18,BKT,All,Invalid Dataset,1,11,NA,NA,NA,NA,NA,NA,NA,NA,0,11,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1984-06-18_F_3F026,F_3F026,1984,6,18,BKT,All,Invalid Dataset,1,15,NA,NA,NA,NA,NA,NA,NA,NA,0,15,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1984-06-19_F_3F102,F_3F102,1984,6,19,BKT,All,Invalid Dataset,1,15,NA,NA,NA,NA,NA,NA,NA,NA,0,15,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1984-06-19_F_3F103,F_3F103,1984,6,19,BKT,All,Invalid Dataset,1,13,NA,NA,NA,NA,NA,NA,NA,NA,0,13,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1984-06-22_F_3F105,F_3F105,1984,6,22,BKT,All,Invalid Dataset,1,6,NA,NA,NA,NA,NA,NA,NA,NA,0,6,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1984-06-22_F_3F106,F_3F106,1984,6,22,BKT,All,Invalid Dataset,1,7,NA,NA,NA,NA,NA,NA,NA,NA,0,7,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1984-06-26_F_2F110,F_2F110,1984,6,26,BKT,All,Invalid Dataset,1,46,NA,NA,NA,NA,NA,NA,NA,NA,0,46,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1984-06-26_F_2F111,F_2F111,1984,6,26,BKT,All,Invalid Dataset,1,71,NA,NA,NA,NA,NA,NA,NA,NA,0,71,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1984-06-26_F_2F112,F_2F112,1984,6,26,BKT,All,Invalid Dataset,1,39,NA,NA,NA,NA,NA,NA,NA,NA,0,39,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1984-06-29_F_2F113_1,F_2F113_1,1984,6,29,BKT,All,Invalid Dataset,1,21,NA,NA,NA,NA,NA,NA,NA,NA,0,21,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1984-06-29_F_2F115,F_2F115,1984,6,29,BKT,All,Invalid Dataset,1,22,NA,NA,NA,NA,NA,NA,NA,NA,0,22,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1984-06-30_F_2F114,F_2F114,1984,6,30,BKT,All,Invalid Dataset,1,35,NA,NA,NA,NA,NA,NA,NA,NA,0,35,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1984-07-03_F_1F117,F_1F117,1984,7,3,BKT,All,Invalid Dataset,1,71,NA,NA,NA,NA,NA,NA,NA,NA,0,71,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
